,notes
10,"[[11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 3, 1, 1], [12, 11, 5, 3, 1], [12, 11, 5, 1], [12, 11, 5, 4, 1]]"
11,"[[9, 7, 6, 5, 3, 1], [11, 9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1]]"
12,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
13,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
14,"[[12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
15,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 3, 2, 1]]"
16,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 9, 5, 4, 3, 1], [11, 10, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
17,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
18,"[[9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 2, 1]]"
19,"[[12, 11, 9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 1], [9, 7, 5, 4, 3, 1], [12, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
20,"[[12, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [12, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
21,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 3, 1, 1], [11, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 1]]"
22,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1], [11, 9, 8, 7, 6, 5, 4, 1]]"
23,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
24,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
25,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 5, 4, 3, 1]]"
26,"[[9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
27,"[[9, 8, 7, 5, 1], [9, 8, 7, 5, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 10, 9, 8, 7, 5, 3, 1]]"
28,"[[12, 11, 9, 8, 5, 4, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1]]"
29,"[[10, 9, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1], [11, 10, 9, 5, 4, 3, 1]]"
30,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
31,"[[9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
32,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1, 5, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
33,"[[12, 11, 9, 5, 1], [11, 9, 5, 1], [11, 9, 5, 3, 1], [9, 5, 3, 1], [10, 9, 5, 3, 1], [10, 9, 5, 1], [10, 9, 5, 4, 1], [10, 9, 5, 1]]"
34,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 3, 1]]"
35,"[[11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
36,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 5, 3, 2, 1], [11, 9, 7, 6, 5, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 4, 3, 2, 1]]"
37,"[[11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
38,"[[9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1]]"
39,"[[9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1, 1], [9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
40,"[[9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1]]"
41,"[[11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
42,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 3, 2, 1], [10, 9, 8, 7, 6, 5, 3, 2, 1]]"
43,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
44,"[[9, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
45,"[[9, 7, 6, 5, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1]]"
46,"[[11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1]]"
47,"[[11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
48,"[[9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 1]]"
49,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1]]"
50,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
51,"[[9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
52,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 9, 8, 7, 5, 3, 2, 1], [12, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
53,"[[9, 5, 3, 1], [11, 9, 5, 3, 1], [11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 1]]"
54,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 1], [12, 11, 9, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
55,"[[9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 5, 1], [9, 8, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 7, 5, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1]]"
56,"[[11, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1]]"
57,"[[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
58,"[[9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
59,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1, 1, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
60,"[[12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 3, 1]]"
61,"[[12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1, 1], [12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
62,"[[12, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 1, 1], [11, 9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [12, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1]]"
63,"[[11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 1, 1], [12, 11, 10, 9, 7, 5, 4, 3, 2, 1]]"
64,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
65,"[[11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
66,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 1]]"
67,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [12, 9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1]]"
68,"[[11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 3, 1]]"
69,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
70,"[[9, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [11, 10, 9, 8, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 3, 1], [12, 11, 9, 8, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
71,"[[11, 9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1]]"
